,date,username,text,retweets numbers,geo
100,2017-05-31 02:25:02,JExpMed,Inhibition of pIgR and PECAM-1 has the potential to prevent pneumococcal #meningitis http:// jem.rupress.org/content/early/ 2017/05/16/jem.20161668 … pic.twitter.com/afw7Sytza1,3,
101,2017-05-31 02:17:44,Tonizonte1,#viaja seguro sin Meningitis pic.twitter.com/u9GHk4K3mp,0,
102,2017-05-31 02:17:39,AntibodyNews,Meningitis Testing Market US Europe France Germany Italy Spain UK JapanSupplier Shares Sales Forecasts Innovative… http:// bioportfol.io/PH2LdH,0,
103,2017-05-31 02:17:03,Iamvictorpeter5,FG dismisses Yari’s views on Meningitis http:// crwd.fr/2nNr329 pic.twitter.com/K4b0YSNb4A,0,
104,2017-05-31 02:08:16,mytotalhealthng,"Nigeria, meningitis C: “The lack of diagnostics and available treatments are the main challenges” http:// dlvr.it/PH27XP",0,
105,2017-05-31 02:08:14,mytotalhealthng,Meningitis C: MSF responds to declared outbreaks in Nigeria and Niger http:// dlvr.it/PH27RW,0,
106,2017-05-31 02:00:47,Tk23BotBot5,Mollaret meningitis ：3回以上繰り返す髄膜刺激徴候と発熱、多くは3−5日以内に軽快。HSV-2が関連。再発予防にVcy予防内服するが予防期間は不明。,0,
107,2017-05-31 02:00:34,DiarioG24,"En un colegio del barrio Unimev, un posible caso de meningitis generó alerta en la comunidad educativa. http:// ow.ly/byua30c9Nff",0,
108,2017-05-31 01:53:01,RockUPress,Antibodies that block pIgR & PECAM-1 could be used as a new therapeutic strategy for #meningitis https://www. sciencedaily.com/releases/2017/ 05/170517111641.htm … shows @JExpMed,2,
109,2017-05-31 01:50:03,SitaSoni1,@bethbottrill lovely to meet you last week! A great day of fundraising and awareness for @MeningitisNow #tangerinetrain #meningitis,0,
110,2017-05-31 01:46:40,PlatoFuerte870,"[AHORA] @andrescarot con @marialauratv : ""1 epidemia de meningitis es sólo 1 de las cosas con las q 1 se encuentra en teste tipo de lugares""",0,
111,2017-05-31 01:45:25,UTAU_Cacilie,It's easy to mistake the early signs and symptoms of meningitis for the flu. So that flu could be a little more serious than you think.,0,
112,2017-05-31 01:40:06,CentroMedicoTVE,La #meningitis es una de las peores infecciones que se puede sufrir. Puede ser vírica o bacteriana http:// ow.ly/P2TJ30c9Yzh #Centromedico pic.twitter.com/XiQ3CpcpO1,1,
113,2017-05-31 01:37:51,White_Suz,@LeighDay_Law @NicWwright compensation for16 year old girl for non diagnosis of #meningitis https:// twitter.com/leighdayclinne g/status/869552303245864960 …,1,
114,2017-05-31 01:32:45,BiologicalB,#biologicals Meningitis Testing Market US Europe France Germany Italy Spain UK JapanSupplier Shares Sales Forec... http:// ow.ly/Aefj50bPhlm,0,
115,2017-05-31 01:31:08,HuffPostUKLife,"The meningitis vaccine that nobody has heard of and how I plan to change that, @M_R_F blogs http:// huffp.st/4Pkv17L pic.twitter.com/pAltU13KHC",0,
116,2017-05-31 01:26:11,martine_ifsbh,“Public Advisory on Cerebrospinal Meningitis Outbreak in Nigeria — Health Ministry” by Nigeria Health Watch https:// medium.com/@nigeriahealth watch/public-advisory-on-cerebrospinal-meningitis-outbreak-in-nigeria-health-ministry-1a7a5fa62970 …,1,
117,2017-05-31 01:25:40,kpomoculture,I would love to intern as an Epidemiologist especially with this #Meningitis #Outbreak in #Nigeria at #NCDCConnectCentre @Fmohnigeria,0,
118,2017-05-31 01:25:23,nighealthwatch,It is not necessary to isolate a meningitis patient during treatment. Read more: http:// bit.ly/2oBQCak #NHWPost,1,
119,2017-05-31 01:25:17,nairapark,#Nigeria #news - #Nigeria needs two million vaccine doses to fight meningitis – Expert http://www. nairapark.com/news/149276420 0/nigeria-needs-two-million-vaccine-doses-fight&t=10123 …,1,
120,2017-05-31 01:21:16,ABCTVpy,"Antonio Barrios: ""La meningitis viral es la más buena"" #ABCNoticias - http:// abc.com.py/tv pic.twitter.com/eKV4wYby4A",0,
121,2017-05-31 01:15:07,Brandsen805,el domingo el rocho tiene que jugar hasta con meningitis https:// twitter.com/La12tuittera/s tatus/869579967683866625 …,0,
122,2017-05-31 01:12:49,AllOfHopeIsGone,- have viral meningitis . Yup she's rather think I have freakin viral meningitis than depression. Oh and the therapist wa-,0,
123,2017-05-31 01:10:22,cheyaannenicole,literally everyone i talk to knows im getting my meningitis shot today bc IM SO SCARED,0,
124,2017-05-31 01:02:31,pfizer,#DYK #MenB is responsible for 60% of #meningitis cases in adolescents in the EU ? pic.twitter.com/hdYdGlk3wA,6,
125,2017-05-31 01:00:48,Tk23BotBot5,Listeria meningitis ：細胞内寄生細菌で亜急性の経過、ゆっくりまったりすすんでいく、症状多彩、Abx:ABPC+GMがstandardだけどABPC+STもいい。STの髄液移行性はイイ。,0,
126,2017-05-31 00:38:40,DiarioCh,Caso de meningitis viral en Resistencia: Educación y Salud informan que el caso está controlado | Diario Chaco http:// bit.ly/2sakY2p,0,
127,2017-05-31 00:36:49,james_justus,3. The sickest I've ever been would have been when I had meningitis when I was 6 or when I was hospitalized by a wasp sting when I was 19.,0,
128,2017-05-31 00:36:20,MedNeg_Wolfies,Meningitis kills and maims. Watch. Share. Be Aware. #FastestHour https://www. youtube.com/watch?v=FuhFp2 2YbpM …,0,
129,2017-05-31 00:31:13,onyeka18,""" @Mr_Tunmise : Let us not forget Meningitis is still very much around. It killed 8 people in Kaduna but we are silent about it.""apc media!!!",0,
130,2017-05-31 00:24:26,betico1957,"jajajajaja ""de la vida alegre"" y si que lo es porque te pone a bailar con la meningitis que te da. Saludos",0,
131,2017-05-31 00:23:09,emotionats,oh this is great theres suspicions of meningitis & septicaemia at my uni nice cool great,0,
132,2017-05-31 00:19:18,AntibodyNews,World Meningitis Diagnostics Market Emerging Opportunities and Growth Strategies Updated 12072016 Prices from USD… http:// bioportfol.io/PGzqYL,0,
133,2017-05-30 23:58:15,Lawfirm_MA,"Researchers found lead particles in a flu vaccine, in Gardasil & Cervarix (cervical cancer vaccines), and in a meningitis C vaccine.",5,
134,2017-05-30 23:34:23,thecitymouse,Neck stiff automatically meningitis,0,
135,2017-05-30 23:30:48,Tk23BotBot5,Pneumococcus： Meningitis でのMICは(I)のカテゴリーなし。初期EmpiricはMICないのでCTRX+VCMになる。,0,
136,2017-05-30 23:03:18,MeningitisNow,Alison spotted a Steve! Trekking away the miles for his final BIG walk for Meningitis Now pic.twitter.com/MFgC0DbChF,6,
137,2017-05-30 22:38:49,amanda_pompili,"I could have hushed up about that, but I decided to be honest. Here's another story of a boy who died of meningitis : http://www. mirror.co.uk/news/uk-news/h orror-football-mad-schoolboy-14-7833797 …",0,
138,2017-05-30 22:01:39,NMAtweets,Cora lost her 19-year-old daughter to #meningitis . Now she educates others about meningococcal disease symptoms. http:// bit.ly/1ymPY9D,0,
139,2017-05-30 21:45:19,nairapark,#Nigeria #news - [BREAKING] Fresh outbreak of meningitis kills 8 in Katsina http://www. nairapark.com/news/149398911 7/breaking-fresh-outbreak-meningitis-kills-katsina&t=12106 …,0,
140,2017-05-30 21:41:07,CLASSICNAIJA247,"Fam, these numbers are alarming, may we not fall victim of meningitis . Sad.",0,
141,2017-05-30 21:40:48,CLASSICNAIJA247,We all need to be active & keep asking questions around what is being done to stop meningitis spread despite aids from development partners,0,
